year,A_baseline_resources_produced,B_auto_only_resources_produced,C_tb_full_resources_produced,D_tb_stress_resources_produced,A_baseline_money_supply,B_auto_only_money_supply,C_tb_full_money_supply,D_tb_stress_money_supply,A_baseline_inflation_pct,B_auto_only_inflation_pct,C_tb_full_inflation_pct,D_tb_stress_inflation_pct,A_baseline_real_rate_pct,B_auto_only_real_rate_pct,C_tb_full_real_rate_pct,D_tb_stress_real_rate_pct,A_baseline_gini,B_auto_only_gini,C_tb_full_gini,D_tb_stress_gini,A_baseline_employment_rate_pct,B_auto_only_employment_rate_pct,C_tb_full_employment_rate_pct,D_tb_stress_employment_rate_pct,A_baseline_welfare_spend,B_auto_only_welfare_spend,C_tb_full_welfare_spend,D_tb_stress_welfare_spend,A_baseline_productivity,B_auto_only_productivity,C_tb_full_productivity,D_tb_stress_productivity,A_baseline_cumulative_debt,B_auto_only_cumulative_debt,C_tb_full_cumulative_debt,D_tb_stress_cumulative_debt,C_tb_tb_pool_size,D_tb_tb_pool_size,C_tb_tb_issued,D_tb_tb_issued,C_tb_tb_repayments,D_tb_tb_repayments,C_tb_automation_tax,D_tb_automation_tax,C_tb_tb_active_borrowers,D_tb_tb_active_borrowers
0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,0.35,0.35,0.35,0.35,70.2,70.2,70.2,70.2,600.0,600.0,600.0,600.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,112.5,112.5,16.88,16.88,0.0,0.0,37.5,37.5,4,4
1,5188.11,5213.41,5229.24,5229.24,5256.43,5257.75,5261.59,5261.59,1.234,1.047,0.953,0.953,3.411,3.645,3.772,3.772,0.3504,0.3504,0.3491,0.3491,70.227,70.227,70.227,70.227,622.57,625.61,627.51,627.51,254.65,255.9,258.71,258.71,0.0,0.0,0.0,0.0,132.48,132.48,21.93,21.93,4.91,4.91,56.11,56.11,4,4
2,5383.7,5436.33,5470.99,5470.99,5523.02,5527.11,5534.03,5534.03,1.209,1.032,0.917,0.917,3.957,4.295,4.518,4.518,0.3508,0.3508,0.3481,0.3481,70.254,70.254,70.254,70.254,646.04,652.36,656.52,656.52,259.36,261.9,267.85,267.85,0.0,0.0,0.0,0.0,152.35,152.35,27.02,27.02,9.85,9.85,77.11,77.11,4,4
3,5587.08,5669.2,5726.22,5723.41,5800.18,5808.58,5821.55,5821.4,1.185,1.017,0.907,0.935,4.777,5.265,5.433,5.41,0.3512,0.3512,0.3471,0.3471,70.281,70.281,70.281,70.281,670.45,680.3,687.15,686.81,264.13,268.0,277.47,277.47,0.0,0.0,0.0,0.0,177.44,177.44,32.14,32.14,14.82,14.82,100.81,100.81,4,4
4,5798.58,5912.5,5996.02,5993.08,6088.34,6102.73,6121.36,6121.06,1.163,1.003,0.871,0.87,5.585,5.945,6.098,6.102,0.3516,0.3516,0.3462,0.3462,70.309,70.309,70.309,70.309,695.83,709.5,719.52,719.17,268.96,274.21,287.62,287.62,0.0,0.0,0.0,0.0,203.03,203.03,37.3,37.3,19.83,19.83,127.55,127.55,4,4
5,6018.54,6166.7,6281.62,6278.54,6387.95,6410.11,6436.07,6435.6,1.141,0.989,0.847,0.846,6.154,6.423,6.558,6.561,0.352,0.352,0.3452,0.3452,70.336,70.336,70.336,70.336,722.22,740.0,753.79,753.43,273.85,280.53,298.35,298.35,0.0,0.0,0.0,0.0,232.04,232.04,42.48,42.48,24.86,24.86,157.73,157.73,4,4
6,6247.32,6432.32,6584.4,6581.18,6699.46,6731.34,6768.38,6767.75,1.121,0.976,0.834,0.833,6.554,6.759,6.875,6.877,0.3523,0.3523,0.3442,0.3442,70.364,70.364,70.364,70.364,749.68,771.88,790.13,789.74,278.81,286.96,309.72,309.72,0.0,0.0,0.0,0.0,267.51,267.51,47.71,47.71,29.93,29.93,191.78,191.78,4,4
7,6485.29,6709.9,6905.96,6902.58,7023.36,7067.03,7115.67,7114.86,1.101,0.963,0.796,0.795,6.836,6.995,7.119,7.121,0.3527,0.3527,0.3432,0.3432,70.392,70.392,70.392,70.392,778.23,805.19,828.71,828.31,283.83,293.5,321.81,321.81,0.0,0.0,0.0,0.0,304.76,304.76,52.96,52.96,35.04,35.04,230.2,230.2,4,4
8,6732.84,6999.99,7248.08,7244.53,7360.15,7417.84,7482.66,7481.66,1.083,0.951,0.779,0.778,7.036,7.163,7.279,7.28,0.3531,0.3531,0.3421,0.3421,70.419,70.419,70.419,70.419,807.94,840.0,869.77,869.34,288.92,300.15,334.68,334.68,0.0,0.0,0.0,0.0,349.55,349.55,58.25,58.25,40.17,40.17,273.55,273.55,4,4
9,6990.39,7303.19,7612.84,7609.11,7710.36,7784.47,7866.86,7865.67,1.065,0.94,0.739,0.738,7.178,7.281,7.412,7.413,0.3534,0.3534,0.3411,0.3411,70.447,70.447,70.447,70.447,838.85,876.38,913.54,913.09,294.07,306.91,348.44,348.44,0.0,0.0,0.0,0.0,397.28,397.28,63.57,63.57,45.34,45.34,322.47,322.47,4,4
