year,population,n_government,n_producer,n_freeone,money_supply,price_level,inflation_pct,nominal_rate_pct,real_rate_pct,resources_produced,resources_consumed,investment,tax_revenue,govt_balance,cumulative_debt,tb_pool_size,tb_issued,tb_repayments,tb_loss_rate_pct,tb_active_borrowers,tb_defaulters,automation_tax,welfare_spend,employment_rate_pct,productivity,gini
0,10.0,1.0,4.0,5.0,1000.0,1.0,2.0,4.5,2.5,1000.0,750.0,200.0,337.0,0.0,0.0,22.5,3.38,0.0,5.0,1,0,7.5,120.0,70.2,250.0,0.35
1,10.11,1.01,4.26,4.84,1043.44,1.0062,0.621,4.67,4.049,1045.48,753.56,221.25,200.3,43.48,0.0,41.56,8.43,3.98,5.175,1,1,26.11,125.46,70.227,258.13,0.3504
2,10.22,1.02,4.3,4.89,1087.53,1.0121,0.589,5.327,4.738,1092.87,757.17,242.62,203.52,39.59,0.0,60.49,13.52,7.99,5.351,1,2,47.11,131.14,70.254,266.69,0.3508
3,10.33,1.03,4.35,4.94,1135.96,1.0185,0.632,6.224,5.592,1143.44,760.82,264.14,206.91,35.39,0.0,84.63,18.64,12.02,5.527,1,3,70.81,137.21,70.281,275.71,0.3512
4,10.44,1.04,4.4,5.0,1185.34,1.0244,0.572,6.843,6.27,1196.88,764.52,285.8,210.46,30.93,0.0,109.28,23.8,16.08,5.704,1,4,97.55,143.63,70.309,285.24,0.3516
5,10.55,1.06,4.44,5.05,1237.6,1.0303,0.576,7.276,6.7,1253.43,768.27,307.6,214.19,26.18,0.0,137.34,28.98,20.16,5.882,1,5,127.73,150.41,70.336,295.35,0.352
6,10.66,1.07,4.49,5.11,1294.73,1.0368,0.635,7.589,6.954,1313.37,772.07,329.54,218.11,21.1,0.0,171.85,34.21,24.27,6.06,1,6,161.78,157.6,70.364,306.08,0.3523
7,10.78,1.08,4.53,5.17,1353.26,1.0431,0.61,7.804,7.193,1376.12,775.92,351.6,222.19,15.77,0.0,208.13,39.46,28.41,6.238,1,7,200.2,165.13,70.392,317.52,0.3527
8,10.89,1.09,4.58,5.22,1417.04,1.0499,0.65,7.96,7.31,1443.04,779.82,373.81,226.5,10.04,0.0,251.95,44.75,32.57,6.417,1,8,243.55,173.17,70.419,329.73,0.3531
9,11.01,1.1,4.63,5.28,1482.68,1.0558,0.558,8.056,7.497,1515.1,783.77,396.18,231.09,3.82,0.0,298.7,50.07,36.76,6.597,1,9,292.47,181.81,70.447,342.81,0.3534
10,11.13,1.11,4.68,5.34,1552.24,1.0618,0.576,8.125,7.55,1591.29,787.78,418.68,235.91,-2.78,2.78,351.72,55.43,40.98,6.777,1,10,347.67,190.95,70.475,356.85,0.3538
11,11.25,1.13,4.73,5.4,1627.79,1.068,0.578,8.175,7.597,1673.68,791.83,441.34,241.07,-9.98,12.76,414.48,60.82,45.22,6.958,1,11,409.96,200.84,70.504,371.97,0.3541
12,11.37,1.14,4.78,5.46,1705.87,1.0734,0.508,8.2,7.693,1762.13,795.95,464.14,246.57,-17.75,30.52,482.56,66.25,49.49,7.14,1,12,480.24,211.46,70.532,388.29,0.3544
13,11.49,1.15,4.83,5.52,1790.57,1.0791,0.527,8.222,7.695,1857.39,800.11,487.09,252.43,-26.17,56.69,562.35,71.71,53.79,7.322,1,13,559.55,222.89,70.56,405.95,0.3548
14,11.62,1.16,4.88,5.58,1878.51,1.0839,0.452,8.227,7.774,1960.32,804.33,510.19,258.72,-35.33,92.02,649.6,77.21,58.12,7.505,1,14,649.04,235.24,70.589,425.11,0.3551
15,11.74,1.17,4.93,5.64,1972.03,1.0885,0.419,8.226,7.807,2071.92,808.61,533.43,265.48,-45.31,137.33,748.33,82.74,62.48,7.688,1,15,750.02,248.63,70.618,445.96,0.3554
16,11.87,1.19,4.98,5.7,2073.46,1.0937,0.477,8.236,7.758,2191.15,812.94,556.78,272.65,-56.02,193.34,862.76,88.31,66.86,7.872,1,16,863.97,262.94,70.646,468.69,0.3557
17,12.0,1.2,5.03,5.77,2179.63,1.0973,0.333,8.222,7.889,2323.82,817.34,580.33,280.56,-68.02,261.36,989.05,93.91,71.27,8.056,1,17,992.54,278.86,70.675,493.53,0.356
18,12.12,1.21,5.08,5.83,2302.17,1.1022,0.444,8.23,7.787,2470.07,821.79,604.03,289.19,-81.32,349.73,1134.62,99.55,75.71,8.241,1,18,1137.61,296.41,70.704,520.73,0.3563
19,12.25,1.23,5.14,5.89,2430.81,1.1067,0.406,8.231,7.826,2628.36,826.3,627.82,298.48,-95.78,452.6,1296.01,105.22,80.18,8.427,1,19,1301.31,315.4,70.733,550.6,0.3566
20,12.39,1.24,5.19,5.96,2568.58,1.1095,0.259,8.212,7.952,2807.27,830.87,651.82,308.87,-112.22,571.95,1478.4,110.94,84.67,8.613,1,20,1486.03,336.87,70.763,583.45,0.3568
