year,population,n_government,n_producer,n_freeone,money_supply,price_level,inflation,nominal_rate,real_rate,resources_produced,resources_consumed,investment,tax_revenue,government_balance,cumulative_debt,tb_pool_size,tb_amount_issued,tb_repayments,tb_loss_rate,tb_active_borrowers,tb_defaulters,automation_tax,welfare_spend,employment_rate,productivity,gini_coefficient
0,10.0,2,4,4,1000,1.0,2.0,4.5,2.5,1000.0,750.0,200.0,339.0,0.0,0.0,30.0,6.0,0.0,5.0,1,0,15.0,120.0,70.0,250.0,0.35
1,10.11,1.52,4.66,3.93,1053.15,0.9483,-5.175,4.785,9.96,1192.11,820.14,226.97,278.96,100.14,0.0,51.3,12.32,4.42,5.35,1,0,36.09,143.05,70.45,262.75,0.3522
2,10.22,1.53,4.71,3.98,1117.99,0.9137,-3.645,5.215,8.86,1388.02,890.81,253.99,312.49,104.29,0.0,73.99,18.68,8.87,5.702,1,0,58.57,166.56,70.902,276.01,0.3544
3,10.33,1.55,4.76,4.02,1194.81,0.8906,-2.53,5.683,8.213,1588.84,962.02,281.32,346.63,108.3,0.0,98.16,25.08,13.35,6.055,1,0,82.53,190.66,71.356,289.81,0.3565
4,10.44,1.57,4.8,4.07,1283.89,0.876,-1.637,6.144,7.781,1794.21,1033.76,308.81,381.33,112.2,0.0,123.9,31.53,17.86,6.408,1,0,108.05,215.3,71.812,304.18,0.3587
5,10.55,1.58,4.85,4.11,1385.5,0.8678,-0.933,6.573,7.506,2004.25,1106.04,336.49,416.61,115.98,0.0,151.33,38.01,22.4,6.763,1,0,135.26,240.51,72.27,319.14,0.3608
6,10.66,1.6,4.9,4.16,1499.93,0.8646,-0.374,6.957,7.331,2219.1,1178.87,364.34,452.49,119.63,0.0,180.53,44.54,26.97,7.119,1,0,164.25,266.29,72.73,334.73,0.3629
7,10.78,1.62,4.95,4.21,1627.45,0.8654,0.094,7.296,7.202,2438.26,1252.24,392.22,488.91,123.17,0.0,211.65,51.11,31.56,7.476,1,0,195.15,292.59,73.192,350.97,0.365
8,10.89,1.63,5.01,4.25,1768.35,0.8692,0.439,7.585,7.146,2662.66,1326.17,420.31,525.98,126.58,0.0,244.79,57.72,36.19,7.835,1,0,228.07,319.52,73.656,367.91,0.3671
9,11.01,1.65,5.06,4.3,1923.0,0.8753,0.7,7.827,7.127,2892.82,1400.64,448.7,563.73,129.81,0.0,280.1,64.37,40.85,8.194,1,0,263.16,347.14,74.122,385.57,0.3692
10,11.13,1.67,5.11,4.35,2091.68,0.8835,0.938,8.032,7.094,3127.9,1475.67,477.16,602.09,132.91,0.0,317.72,71.07,45.53,8.555,1,0,300.55,375.35,74.589,404.0,0.3713
11,11.25,1.69,5.16,4.4,2274.77,0.8931,1.094,8.199,7.105,3369.07,1551.27,505.92,641.19,135.82,0.0,357.79,77.81,50.25,8.917,1,0,340.4,404.29,75.059,423.24,0.3733
12,11.37,1.71,5.22,4.45,2472.59,0.9041,1.229,8.336,7.107,3616.01,1627.42,534.87,680.97,138.57,0.0,400.48,84.59,54.99,9.28,1,0,382.86,433.92,75.531,443.32,0.3754
13,11.49,1.72,5.27,4.5,2685.52,0.9162,1.334,8.448,7.114,3868.93,1704.15,564.01,721.48,141.14,0.0,445.96,91.42,59.77,9.644,1,0,428.11,464.27,76.005,464.3,0.3774
14,11.62,1.74,5.33,4.55,2913.93,0.9291,1.413,8.538,7.125,4128.01,1781.45,593.33,762.72,143.52,0.0,494.41,98.29,64.58,10.009,1,0,476.33,495.36,76.481,486.23,0.3794
15,11.74,1.76,5.38,4.6,3158.18,0.9428,1.473,8.61,7.138,4393.48,1859.32,622.84,804.73,145.71,0.0,546.03,105.2,69.42,10.376,1,0,527.73,527.22,76.959,509.15,0.3814
16,11.87,1.78,5.44,4.65,3418.63,0.9574,1.545,8.672,7.127,4664.52,1937.76,652.28,847.41,147.73,0.0,601.03,112.16,74.29,10.743,1,0,582.49,559.74,77.439,533.12,0.3834
17,12.0,1.8,5.49,4.7,3695.74,0.9722,1.544,8.715,7.171,4943.42,2016.79,682.17,891.01,149.5,0.0,659.62,119.17,79.19,11.112,1,0,640.85,593.21,77.921,558.21,0.3854
18,12.12,1.82,5.55,4.76,3989.93,0.9874,1.564,8.748,7.184,5229.4,2096.41,712.26,935.44,151.03,0.0,722.05,126.22,84.12,11.482,1,0,703.04,627.53,78.405,584.46,0.3874
19,12.25,1.84,5.61,4.81,4301.58,1.0032,1.607,8.778,7.171,5521.53,2176.61,742.24,980.61,152.38,0.0,788.56,133.31,89.09,11.853,1,0,769.32,662.58,78.891,611.94,0.3894
20,12.39,1.86,5.66,4.86,4631.21,1.0191,1.577,8.794,7.217,5822.46,2257.41,772.71,1026.79,153.42,0.0,859.42,140.45,94.08,12.226,1,0,839.95,698.69,79.379,640.74,0.3913
